# Glossaire multilingue Kitview - Référentiel central de traductions. Types : c=courant, t=tag, a=adjectif 28/12/25 8:20;;;;;;;;;;;;
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
o;appointment;appointment;;;;アポイントメント;;;;;;
o;appointmente;appointment;;;;アポイントメント;;;;;;
o;appointmentes;appointment;;;;アポイントメント;;;;;;
o;appointments;appointments;;;;アポイントメント;;;;;;
o;appraisal de wits;wits fertilizer;;;;ウィッツ肥料;;;;;;
o;arc;arc;;;;円弧;;;;;;
o;arc dentaire;dental arch;;;;歯列弓;;;;;;
o;arc orthodontique;orthodontic arch;;;;歯列矯正アーチ;;;;;;
o;arcade;arcade;;;;アーケード;;;;;;
o;arcade dentaire;dental arch;;;;歯列弓;;;;;;
o;arcades dentaires;dental arches;;;;デンタルアーチ;;;;;;
o;archwire;archwire;;;;アーチワイヤー;;;;;;
o;arcs dentaires;dental arches;;;;デンタルアーチ;;;;;;
o;arcs orthodontiques;orthodontic archwires;;;;矯正用アーチワイヤー;;;;;;
o;arrachage dentaire;dental extraction;;;;抜歯;;;;;;
o;arrachages dentaires;dental extraction;;;;抜歯;;;;;;
o;arrière;rear;;;;リア;;;;;;
o;arrières;back;;;;バック;;;;;;
o;arthrite;arthritis;;;;関節炎;;;;;;
o;arthropathie dégénérative;degenerative arthropathy;;;;変性関節症;;;;;;
o;arthropathie inflammatoire;inflammatory arthropathy;;;;炎症性関節症;;;;;;
o;arthropathies dégénératives;degenerative arthropathies;;;;変性関節症;;;;;;
o;arthropathies inflammatoires;inflammatory arthropathies;;;;炎症性関節症;;;;;;
o;arthrose;osteoarthritis;;;;骨関節炎;;;;;;
o;articulation;joint;;;;ジョイント;;;;;;
o;articulation temporo-mandibulaire;temporomandibular joint;;;;顎関節;;;;;;
o;articulationne;joint;;;;ジョイント;;;;;;
o;articulationnes;articulation;;;;アーティキュレーション;;;;;;
o;articulations;joints;;;;継ぎ目;;;;;;
o;articulations temporo-mandibulaires;temporomandibular joints;;;;顎関節;;;;;;
o;articulé croisé;articulated cross;;;;アーティキュレーテッド・クロス;;;;;;
o;articulé inversé;inverted hinge;;;;逆ヒンジ;;;;;;
o;articulés croisés;cross-hinged;;;;クロスヒンジ;;;;;;
o;articulés inversés;inverted joints;;;;逆関節;;;;;;
o;asymétrie faciale;facial asymmetry;;;;顔の非対称性;;;;;;
o;asymétrie mandibulaire;mandibular asymmetry;;;;下顎非対称;;;;;;
o;asymétrie maxillaire;maxillary asymmetry;;;;上顎非対称;;;;;;
o;asymétries mandibulaires;mandibular asymmetries;;;;下顎非対称;;;;;;
o;asymétries maxillaires;jaw asymmetries;;;;顎の非対称性;;;;;;
o;asymétrique;asymmetrical;;;;非対称;;;;;;
o;asymétriques;asymmetric;;;;非対称;;;;;;
o;atm;atm;;;;ATM;;;;;;
o;attache;attachment;;;;添付ファイル;;;;;;
o;attache décollée;detached fastener;;;;脱着式ファスナー;;;;;;
o;attaches;fasteners;;;;ファスナー;;;;;;
o;attaches céramiques;ceramic fasteners;;;;セラミック・ファスナー;;;;;;
o;attaches décollées;loose fasteners;;;;緩み止め;;;;;;
o;attaches orthodontiques;orthodontic brackets;;;;歯列矯正ブラケット;;;;;;
o;attachesse;attachment;;;;添付ファイル;;;;;;
o;attachesses;attachesses;;;;付属品;;;;;;
o;atypique;atypical;;;;非定型;;;;;;
o;atypiques;atypical;;;;非定型;;;;;;
o;avaler;swallow;;;;飲み下す;;;;;;
o;avalers;avalers;;;;紳士淑女;;;;;;
o;avalère;downstream;;;;ダウンストリーム;;;;;;
o;avalères;downstream;;;;ダウンストリーム;;;;;;
o;avancement;advancement;;;;昇格;;;;;;
o;avancement excessif;excessive advancement;;;;過度の前進;;;;;;
o;avancemente;progress;;;;進歩;;;;;;
o;avancementes;advances;;;;進歩;;;;;;
o;avancements;advances;;;;進歩;;;;;;
o;avancements excessifs;excessive advances;;;;過剰な前借り;;;;;;
o;avancée;advance;;;;前進;;;;;;
o;avancées;advances;;;;進歩;;;;;;
o;avante;forward;;;;前方;;;;;;
o;avantes;front;;;;フロント;;;;;;
o;avants;front;;;;フロント;;;;;;
o;avec diastèmes;with diastemas;;;;拡張子あり;;;;;;
o;avec encombrement;with footprint;;;;フットプリント付き;;;;;;
o;avec espaces;with spaces;;;;スペース付き;;;;;;
o;avecs diastèmes;with diastemas;;;;拡張子あり;;;;;;
o;avecs encombrements;with congestion;;;;輻輳;;;;;;
o;avecs espaces;with spaces;;;;スペース付き;;;;;;
o;avulsion;avulsion;;;;剥離;;;;;;
o;bactérien;bacterial;;;;バクテリア;;;;;;
o;bactérienne;bacterial;;;;バクテリア;;;;;;
o;bactériennes;bacterial;;;;バクテリア;;;;;;
o;bactériens;bacterial;;;;バクテリア;;;;;;
o;bague et anse;ring and handle;;;;リングとハンドル;;;;;;
o;bague qui tombe;falling ring;;;;落下リング;;;;;;
o;bagues;rings;;;;リング;;;;;;
o;bagues ets anses;rings and handles;;;;リングとハンドル;;;;;;
o;bagues quis tombes;rings that have fallen;;;;落ちたリング;;;;;;
o;bascule;scale;;;;スケール;;;;;;
o;basculement;changeover;;;;チェンジオーバー;;;;;;
o;basculemente;basculemente;;;;バスク;;;;;;
o;basculementes;tilting;;;;ティルティング;;;;;;
o;basculements;tilts;;;;ティルト;;;;;;
o;bascules;scales;;;;体重計;;;;;;
o;beance;beance;;;;ビーンス;;;;;;
o;beances;beances;;;;俤;;;;;;
o;bicuspide;bicuspid;;;;そうぼう;;;;;;
o;bicuspides;bicuspids;;;;そうぼう;;;;;;
o;bielle;connecting rod;;;;コネクティングロッド;;;;;;
o;bielle de herbst;herbst connecting rod;;;;ハーベストコネクティングロッド;;;;;;
o;bielles;connecting rods;;;;コネクティングロッド;;;;;;
o;bielles des herbsts;herbsts rods;;;;ハーブロッド;;;;;;
o;bodily movement;bodily movement;;;;たいどう;;;;;;
o;bodilys movements;bodily movements;;;;身のこなし;;;;;;
o;bouche ouverte;open mouth;;;;かいこう;;;;;;
o;bouches ouvertes;open mouths;;;;口をあける;;;;;;
o;boîtiers orthodontiques;orthodontic braces;;;;歯列矯正;;;;;;
o;braces;braces;;;;中括弧;;;;;;
o;bracesse;bracesse;;;;中括弧;;;;;;
o;bracesses;bracesses;;;;腕輪;;;;;;
o;bracket;bracket;;;;ブラケット;;;;;;
o;bracket décollé;detached bracket;;;;取り外し可能なブラケット;;;;;;
o;brackets;brackets;;;;括弧;;;;;;
o;brackets céramiques;ceramic brackets;;;;セラミックブラケット;;;;;;
o;brackets décollés;loose brackets;;;;ルーズブラケット;;;;;;
o;bracketsse;bracketsse;;;;ブラケット;;;;;;
o;bracketsses;bracketsses;;;;括弧;;;;;;
o;brackète;brackets;;;;括弧;;;;;;
o;brackètes;brackets;;;;括弧;;;;;;
o;broches;pins;;;;ピンズ;;;;;;
o;brochesse;brochesse;;;;ブローシュ;;;;;;
o;brochesses;brochesses;;;;ブリュッセル;;;;;;
o;brossage;brushing;;;;ブラッシング;;;;;;
o;brossages;brushing;;;;ブラッシング;;;;;;
o;bruxisme;bruxism;;;;歯ぎしり;;;;;;
o;bruxomanie;bruxism;;;;歯軋り;;;;;;
o;bruxomanies;bruxism;;;;歯軋り;;;;;;
o;béance;hollowness;;;;がらんどう;;;;;;
o;béance dentaire;open bite;;;;オープンバイト;;;;;;
o;béance par interposition;gap by interposition;;;;間隙;;;;;;
o;béances dentaires;gaps in the teeth;;;;歯の隙間;;;;;;
o;béances pars interpositions;gaps through interpositions;;;;間隙を縫って;;;;;;
o;bénigne;benign;;;;良性;;;;;;
o;bénignes;benign;;;;良性;;;;;;
o;bénin;benin;;;;ベナン;;;;;;
o;bénins;benign;;;;良性;;;;;;
o;canine;canine;;;;イヌ;;;;;;
o;carie;caries;;;;齲蝕;;;;;;
o;caries;cavities;;;;空洞;;;;;;
o;caries dentaires;dental caries;;;;う蝕;;;;;;
o;cas urgent;urgent case;;;;急患;;;;;;
o;cas urgents;urgent cases;;;;急患;;;;;;
o;cavité;cavity;;;;空洞;;;;;;
o;cavitée;cavity;;;;空洞;;;;;;
o;cavitées;cavities;;;;空洞;;;;;;
o;cavités;cavities;;;;空洞;;;;;;
o;cbct;cbct;;;;cbct;;;;;;
o;cbcte;cbcte;;;;CBCTe;;;;;;
o;cbctes;cbctes;;;;CBCTes;;;;;;
o;cbcts;cbcts;;;;CBCT;;;;;;
o;central;central;;;;セントラル;;;;;;
o;centrale;power plant;;;;発電所;;;;;;
o;centrales;power plants;;;;発電所;;;;;;
o;centraux;central;;;;セントラル;;;;;;
o;cephalo;cephalo;;;;セファロ;;;;;;
o;cephalos;cephalos;;;;ケファロス;;;;;;
o;ceramic;ceramic;;;;セラミック;;;;;;
o;ceramics;ceramics;;;;セラミックス;;;;;;
o;ceramique;ceramics;;;;セラミックス;;;;;;
o;ceramiques;ceramics;;;;セラミックス;;;;;;
o;chevauchement;overlap;;;;オーバーラップ;;;;;;
o;chevauchemente;overlaps;;;;オーバーラップ;;;;;;
o;chevauchementes;overlaps;;;;オーバーラップ;;;;;;
o;chevauchements;overlaps;;;;オーバーラップ;;;;;;
o;chewing;chewing;;;;咀嚼;;;;;;
o;chirurgie;surgery;;;;外科手術;;;;;;
o;chirurgie bimaxillaire;bimaxillary surgery;;;;二重顎手術;;;;;;
o;chirurgie des mâchoires;jaw surgery;;;;顎の手術;;;;;;
o;chirurgie mandibulaire;mandibular surgery;;;;下顎手術;;;;;;
o;chirurgie maxillaire;jaw surgery;;;;顎の手術;;;;;;
o;chirurgie maxillo-faciale;maxillo-facial surgery;;;;顎顔面外科;;;;;;
o;chirurgie orthognathique;orthognathic surgery;;;;顎矯正手術;;;;;;
o;chirurgies bimaxillaires;bimaxillary surgery;;;;二重顎手術;;;;;;
o;chirurgies des mâchoires;jaw surgery;;;;顎の手術;;;;;;
o;chirurgies mandibulaires;mandibular surgery;;;;下顎手術;;;;;;
o;chirurgies maxillaires;jaw surgery;;;;顎の手術;;;;;;
o;chirurgies maxillo-faciales;maxillo-facial surgery;;;;顎顔面外科;;;;;;
o;chirurgies orthognathiques;orthognathic surgery;;;;顎矯正手術;;;;;;
o;ci 2 propulseur;ci 2 thruster;;;;ci 2 推進剤;;;;;;
o;ci ii propulseur;ci ii thruster;;;;CI II 推進剤;;;;;;
o;cinquième;fifth;;;;第五;;;;;;
o;cinquièmes;fifth;;;;第五;;;;;;
o;cis iis propulseurs;cis iis thrusters;;;;CI IIs スラスター;;;;;;
o;claquement articulaire;joint snap;;;;ジョイントスナップ;;;;;;
o;claquement atm;atm slam;;;;ATMスラム;;;;;;
o;claquements atms;atm clicks;;;;ATMクリック数;;;;;;
o;classe 1;class 1;;;;クラス1;;;;;;
o;classe 1 dentaire;class 1 dental;;;;クラス1デンタル;;;;;;
o;classe 1 squelettique;class 1 skeletal;;;;1級骨格;;;;;;
o;classe 2;class 2;;;;クラス2;;;;;;
o;classe 2 dentaire;class 2 dental;;;;クラス2デンタル;;;;;;
o;classe 2 propulseur;class 2 thruster;;;;クラス2スラスター;;;;;;
o;classe 2 squelettique;class 2 skeletal;;;;クラス2 骨格;;;;;;
o;classe 3;class 3;;;;クラス3;;;;;;
o;classe 3 dentaire;class 3 dental;;;;クラス3デンタル;;;;;;
o;classe 3 squelettique;class 3 skeletal;;;;クラス3 骨格;;;;;;
o;classe dentaire;dental class;;;;歯科教室;;;;;;
o;classe i;class i;;;;クラスI;;;;;;
o;classe i d'angle;angle class i;;;;アングル・クラス I;;;;;;
o;classe i squelettique;class i skeletal;;;;クラスI骨格;;;;;;
o;classe ii;class ii;;;;クラスII;;;;;;
o;classe ii d'angle;angle class ii;;;;アングル・クラス II;;;;;;
o;classe ii propulseur;class ii thruster;;;;クラスIIエンジン;;;;;;
o;classe ii squelettique;class ii skeletal;;;;クラスIIの骨格;;;;;;
o;classe iii;class iii;;;;クラスIII;;;;;;
o;classe iii d'angle;angle class iii;;;;アングル・クラスIII;;;;;;
o;classe iii squelettique;class iii skeletal;;;;クラスIII 骨格;;;;;;
o;cleaning;cleaning;;;;クリーニング;;;;;;
o;cleanings;cleanings;;;;クリーニング;;;;;;
o;cleaningue;cleaningue;;;;クリーニング;;;;;;
o;cleaningues;cleaning products;;;;クリーニング製品;;;;;;
o;clear aligner;clear align;;;;クリアアライン;;;;;;
o;clears aligners;clears aligners;;;;アライナーをクリア;;;;;;
o;clenching;clenching;;;;食いしばり;;;;;;
o;clicking;clicking;;;;クリック;;;;;;
o;clickings;clickings;;;;かちかち;;;;;;
o;clickingue;click here;;;;ここをクリック;;;;;;
o;clickingues;click here;;;;ここをクリック;;;;;;
o;collé;glued;;;;接着剤付き;;;;;;
o;collée;glued;;;;接着剤付き;;;;;;
o;collées;glued;;;;接着剤付き;;;;;;
o;collés;glued;;;;接着剤付き;;;;;;
o;complet;complete;;;;完全;;;;;;
o;complets;complete;;;;完全;;;;;;
o;complexe;complex;;;;複雑;;;;;;
o;complexes;complexes;;;;コンプレックス;;;;;;
o;complète;complete;;;;完全;;;;;;
o;complètes;complete;;;;完全;;;;;;
o;composite;composite;;;;コンポジット;;;;;;
o;cone beam;cone beam;;;;コーンビーム;;;;;;
o;cone beam ct;cone beam ct;;;;コーンビームCT;;;;;;
o;cones beams;cones beams;;;;コーンビーム;;;;;;
o;cones beams cts;cones beams cts;;;;コーンビーム CT;;;;;;
o;consultation;consultation;;;;協議;;;;;;
o;consulter;visit;;;;訪問;;;;;;
o;consulters;consultants;;;;コンサルタント;;;;;;
o;consultère;consultancy;;;;コンサルタント;;;;;;
o;consultères;consultants;;;;コンサルタント;;;;;;
o;contention;restraint;;;;拘束;;;;;;
o;contrôle;control;;;;コントロール;;;;;;
o;correction;correction;;;;修正;;;;;;
o;correction classe ii;class ii correction;;;;訂正クラスII;;;;;;
o;correctionne;correct;;;;正しい;;;;;;
o;correctionnes;corrected;;;;修正済み;;;;;;
o;corrections;corrections;;;;訂正;;;;;;
o;couple;couple;;;;カップル;;;;;;
o;couples;couples;;;;カップル;;;;;;
o;croc;croc;;;;クロコ;;;;;;
o;crocs;crocs;;;;クロックス;;;;;;
o;croissance;growth;;;;成長;;;;;;
o;croque;crunch;;;;クランチ;;;;;;
o;croquer;crunch;;;;クランチ;;;;;;
o;croquers;croquers;;;;コロッケ;;;;;;
o;croques;croques;;;;クロッキー;;;;;;
o;croquère;croquère;;;;クロケール;;;;;;
o;croquères;croquères;;;;クロケール;;;;;;
o;crossbite;crossbite;;;;クロスバイト;;;;;;
o;crowding;crowding;;;;押し合い;;;;;;
o;crowding dentaire;dental crowding;;;;歯列叢生;;;;;;
o;cuspide;cusp;;;;先端;;;;;;
o;cuspides;cusps;;;;尖頭;;;;;;
o;céphalométrie;cephalometry;;;;頭囲測定;;;;;;
o;céramique;ceramics;;;;セラミックス;;;;;;
o;ddm;ddm;;;;しょうこうドットエム;;;;;;
o;deciduous;deciduous;;;;落葉;;;;;;
o;deciduousse;deciduousse;;;;落葉;;;;;;
o;deciduousses;deciduousses;;;;デュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュデュ;;;;;;
o;deep bite;deep bite;;;;深噛み;;;;;;
o;dent absente;missing tooth;;;;欠損歯;;;;;;
o;dent ankylosée;ankylosed tooth;;;;鉤状歯;;;;;;
o;dent bloquée;blocked tooth;;;;詰まり歯;;;;;;
o;dent canine;canine tooth;;;;糸切り歯;;;;;;
o;dent de devant;front tooth;;;;前歯;;;;;;
o;dent de loup;wolf's tooth;;;;狼牙;;;;;;
o;dent du fond;back tooth;;;;奥歯;;;;;;
o;dent en dehors de l'arcade;tooth outside the arch;;;;歯列弓外歯;;;;;;
o;dent en infraposition;tooth in infraposition;;;;埋伏歯;;;;;;
o;dent en supraposition;tooth in supraposition;;;;前歯;;;;;;
o;dent en trop;extra tooth;;;;余分な歯;;;;;;
o;dent incluse;tooth included;;;;歯を含む;;;;;;
o;dent mal placée;misplaced tooth;;;;すれ違い歯;;;;;;
o;dent mal positionnée;tooth in the wrong position;;;;はがゆい;;;;;;
o;dent manquante;missing tooth;;;;欠損歯;;;;;;
o;dent pivotée;pivoted tooth;;;;回転歯;;;;;;
o;dent qui ne pousse pas;tooth that doesn't grow;;;;生えない歯;;;;;;
o;dent qui ne sort pas;tooth that won't come out;;;;抜けない歯;;;;;;
o;dent retenue;retained tooth;;;;留め歯;;;;;;
o;dent rotée;rotated tooth;;;;回転歯;;;;;;
o;dent supplémentaire;additional tooth;;;;追加歯;;;;;;
o;dent surnuméraire;supernumerary tooth;;;;過剰歯;;;;;;
o;dent tournée;turned tooth;;;;回し歯;;;;;;
o;dent trop basse;tooth too low;;;;歯が低すぎる;;;;;;
o;dent trop haute;tooth too high;;;;高すぎる歯;;;;;;
o;dental arch;dental arch;;;;歯列弓;;;;;;
o;dental caries;dental caries;;;;う蝕;;;;;;
o;dentaux archs;arch teeth;;;;アーチ歯;;;;;;
o;dentaux caries;tooth decay;;;;虫歯;;;;;;
o;dentition adulte;adult teeth;;;;大人の歯;;;;;;
o;dentition mixte;mixed dentition;;;;混合歯列;;;;;;
o;dentition permanente;permanent teeth;;;;永久歯;;;;;;
o;dentition temporaire;temporary dentition;;;;仮歯列;;;;;;
o;dentition transitionnelle;transitional dentition;;;;移行期歯列;;;;;;
o;dentitions adultes;adult teeth;;;;大人の歯;;;;;;
o;dentitions transitionnelles;transitional dentitions;;;;移行期歯列;;;;;;
o;dents absentes;missing teeth;;;;歯抜け;;;;;;
o;dents ankylosées;ankylosed teeth;;;;鉤歯;;;;;;
o;dents bloquées;blocked teeth;;;;はがみ;;;;;;
o;dents canines;canine teeth;;;;犬歯;;;;;;
o;dents d'adulte;adult teeth;;;;大人の歯;;;;;;
o;dents d'adultes;adult teeth;;;;大人の歯;;;;;;
o;dents de bébé;baby teeth;;;;乳歯;;;;;;
o;dents de devant;front teeth;;;;前歯;;;;;;
o;dents de lait;milk teeth;;;;乳歯;;;;;;
o;dents des bébés;babies' teeth;;;;乳歯;;;;;;
o;dents des devants;front teeth;;;;前歯;;;;;;
o;dents des laits;milk teeth;;;;乳歯;;;;;;
o;dents des loups;wolves' teeth;;;;狼牙;;;;;;
o;dents du bonheur;happiness teeth;;;;幸福の歯;;;;;;
o;dents dus bonheurs;dents dus bonheurs;;;;へこみと喜び;;;;;;
o;dents dus fonds;teeth due funds;;;;歯数;;;;;;
o;dents définitives;permanent teeth;;;;永久歯;;;;;;
o;dents ens dehors des l'arcades;teeth outside the arch;;;;アーチ外の歯;;;;;;
o;dents ens infrapositions;teeth and infrapositions;;;;歯と歯列;;;;;;
o;dents ens suprapositions;teeth and suprapositions;;;;歯と歯根;;;;;;
o;dents ens trops;overgrown teeth;;;;生え歯;;;;;;
o;dents espacées;spaced teeth;;;;すきっ歯;;;;;;
o;dents incluses;impacted teeth;;;;埋伏歯;;;;;;
o;dents lactéales;milk teeth;;;;乳歯;;;;;;
o;dents manquantes;missing teeth;;;;歯抜け;;;;;;
o;dents maux placées;teeth maux placed;;;;歯;;;;;;
o;dents maux positionnées;badly positioned teeth;;;;乱杭歯;;;;;;
o;dents pivotées;pivoted teeth;;;;回転歯;;;;;;
o;dents primaires;primary teeth;;;;乳歯;;;;;;
o;dents qui grincent;grinding teeth;;;;歯ぎしり;;;;;;
o;dents qui se chevauchent;overlapping teeth;;;;重なり合う歯;;;;;;
o;dents quis grincents;teeth that grind;;;;歯ぎしり;;;;;;
